TEAM_ID;MIN_YEAR;MAX_YEAR;ABBREVIATION;NICKNAME;YEARFOUNDED;CITY;ARENA;ARENACAPACITY
1610612737;1949;2022;ATL;Hawks;1949;Atlanta;State Farm Arena;18729
1610612738;1946;2022;BOS;Celtics;1946;Boston;TD Garden;18624
1610612739;1970;2022;CLE;Cavaliers;1970;Cleveland;Quicken Loans Arena;20562
1610612740;2002;2022;NOP;Pelicans;2002;New Orleans;Smoothie King Center;16867
1610612741;1966;2022;CHI;Bulls;1966;Chicago;United Center;21711
1610612742;1980;2022;DAL;Mavericks;1980;Dallas;American Airlines Center;19200
1610612743;1976;2022;DEN;Nuggets;1976;Denver;Pepsi Center;19099
1610612744;1971;2022;GSW;Warriors;1966;Golden State;Oracle Arena ;19596
1610612745;1967;2022;HOU;Rockets;1967;Houston;Toyota Center;18104
1610612746;1970;2022;LAC;Clippers;1970;Los Angeles;Staples Center;19060
1610612747;1948;2022;LAL;Lakers;1948;Los Angeles;Staples Center;19060
1610612748;1988;2022;MIA;Heat;1988;Miami;AmericanAirlines Arena;19600
1610612749;1968;2022;MIL;Bucks;1968;Milwaukee;Fiserv Forum;17500
1610612750;1989;2022;MIN;Timberwolves;1989;Minnesota;Target Center;19356
1610612751;1976;2022;BKN;Nets;1976;Brooklyn;Barclays Center;17732
1610612752;1946;2022;NYK;Knicks;1946;New York;Madison Square Garden;19763
1610612753;1989;2022;ORL;Magic;1989;Orlando;Amway Center;18846
1610612754;1976;2022;IND;Pacers;1976;Indiana;Bankers Life Fieldhouse;18345
1610612755;1949;2022;PHI;76ers;1949;Philadelphia;Wells Fargo Center;20478
1610612756;1968;2022;PHX;Suns;1968;Phoenix;Talking Stick Resort Arena;17071
1610612757;1970;2022;POR;Trail Blazers;1970;Portland;Moda Center;19980
1610612758;1948;2022;SAC;Kings;1948;Sacramento;Golden 1 Center;17500
1610612759;1976;2022;SAS;Spurs;1976;San Antonio;AT&T Center;18694
1610612760;1995;2006;SEA;Sonics;1962;Seattle;Climate Pledge Arena;17072
1610612761;1995;2022;TOR;Raptors;1995;Toronto;Scotiabank Arena;19800
1610612762;1974;2022;UTA;Jazz;1974;Utah;Vivint Smart Home Arena;20148
1610612763;1995;2001;VAN;Grizzlies;1995;Vancouver;General Motors Place;19193
1610612764;1961;2022;WAS;Wizards;1961;Washington;Capital One Arena;20647
1610612765;1988;2017;DET;Pistons;1988;Detroit;The Palace of Auburn Hills;22076
1610612766;1988;2022;CHA;Hornets;1988;Charlotte;Spectrum Center;19026
1610612767;1946;2022;GSW;Warriors;1946;Golden State;Chase Center;19596
1610612768;2017;2022;DET;Pistons;1948;Detroit;Little Caesars Arena;21000
1610612769;2001;2022;MEM;Grizzlies;1995;Memphis;FedExForum;18119
1610612770;2006;2022;OKC;Thunder;1967;Oklahoma City;Chesapeake Energy Arena;19163
